ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
236010_at	1.05e-11	3.52e-16	-12.10357	26.539631	-3.320774		
201695_s_at	1.31e-11	8.78e-16	11.801018	25.657968	4.9601019	PNP	purine nucleoside phosphorylase
207175_at	2.65e-11	2.66e-15	-11.439335	24.587278	-7.6223658	ADIPOQ	adiponectin, C1Q and collagen domain containing
204460_s_at	5.85e-11	9.83e-15	11.019904	23.322929	3.4636671	RAD1	RAD1 checkpoint DNA exonuclease
218073_s_at	5.85e-11	9.94e-15	11.016131	23.311447	3.4624151	NDC1	NDC1 transmembrane nucleoporin
234675_x_at	5.85e-11	1.17e-14	-10.963335	23.150553	-2.4597665		
209218_at	7.57e-11	1.77e-14	10.832558	22.750368	4.3765984	SQLE	squalene epoxidase
202058_s_at	7.79e-11	2.09e-14	10.78149	22.593467	3.2267158	KPNA1	karyopherin subunit alpha 1
220232_at	8.59e-11	2.59e-14	-10.713687	22.384599	-3.5694474	SCD5	stearoyl-CoA desaturase 5
201399_s_at	1.07e-10	3.66e-14	10.604788	22.047831	4.1863848	TRAM1	translocation associated membrane protein 1
201663_s_at	1.07e-10	4.66e-14	10.529564	21.814267	5.3025516	SMC4	structural maintenance of chromosomes 4
218252_at	1.07e-10	4.75e-14	10.523551	21.795566	3.3133669	CKAP2	cytoskeleton associated protein 2
213350_at	1.07e-10	5.27e-14	-10.491229	21.694949	-2.5385439	RPS11	ribosomal protein S11
224247_s_at	1.07e-10	5.36e-14	10.48582	21.678098	2.3286948	MRPS10	mitochondrial ribosomal protein S10
218302_at	1.07e-10	5.73e-14	10.464895	21.612873	3.5890733	PSENEN	presenilin enhancer gamma-secretase subunit
212271_at	1.07e-10	5.74e-14	10.464604	21.611965	3.4885585	MAPK1	mitogen-activated protein kinase 1
201490_s_at	1.12e-10	6.55e-14	10.423427	21.483436	4.0752495	PPIF	peptidylprolyl isomerase F
218782_s_at	1.12e-10	7.93e-14	10.364145	21.297997	5.2975099	ATAD2	ATPase family, AAA domain containing 2
1558048_x_at	1.12e-10	7.95e-14	-10.363076	21.29465	-4.8528539		
224159_x_at	1.12e-10	8.30e-14	-10.349751	21.252902	-3.0025211	TRIM4	tripartite motif containing 4
229839_at	1.12e-10	8.52e-14	-10.341749	21.227822	-5.6801072	SCARA5	scavenger receptor class A member 5
211672_s_at	1.12e-10	8.63e-14	10.337767	21.215336	3.8483816	ARPC4-TTLL3///ARPC4	ARPC4-TTLL3 readthrough///actin related protein 2/3 complex subunit 4
206093_x_at	1.12e-10	8.64e-14	-10.337252	21.213722	-5.8575901	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
238701_x_at	1.27e-10	1.02e-13	-10.286032	21.052945	-2.429326	COLCA1	colorectal cancer associated 1
223229_at	1.27e-10	1.10e-13	10.262741	20.97972	5.0801749	UBE2T	ubiquitin conjugating enzyme E2 T
224061_at	1.27e-10	1.13e-13	-10.253691	20.951249	-3.5097646	INMT	indolethylamine N-methyltransferase
206323_x_at	1.27e-10	1.15e-13	-10.249382	20.93769	-2.512124	OPHN1	oligophrenin 1
200890_s_at	1.29e-10	1.21e-13	10.233302	20.887067	2.798879	SSR1	signal sequence receptor subunit 1
214845_s_at	1.38e-10	1.34e-13	10.202586	20.790271	4.1153047	CALU	calumenin
222442_s_at	1.41e-10	1.45e-13	10.177181	20.710119	2.8494292	ARL8B	ADP ribosylation factor like GTPase 8B
1554679_a_at	1.41e-10	1.49e-13	10.17003	20.687545	5.0690403	LAPTM4B	lysosomal protein transmembrane 4 beta
201971_s_at	1.41e-10	1.51e-13	10.164639	20.67052	4.3826185	ATP6V1A	ATPase H+ transporting V1 subunit A
202129_s_at	1.46e-10	1.62e-13	10.144275	20.606176	3.0806192	RIOK3	RIO kinase 3
216153_x_at	1.54e-10	1.79e-13	-10.113575	20.509077	-2.2068017	RECK	reversion inducing cysteine rich protein with kazal motifs
211565_at	1.54e-10	1.80e-13	-10.111199	20.501558	-4.9929548	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3
216333_x_at	1.55e-10	1.93e-13	-10.090248	20.435213	-5.9266819	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
224376_s_at	1.55e-10	2.01e-13	10.076954	20.393086	2.1098674	TGIF2-C20orf24///C20orf24	TGIF2-C20orf24 readthrough///chromosome 20 open reading frame 24
233817_at	1.55e-10	2.07e-13	-10.068855	20.367412	-2.1343548		
203360_s_at	1.55e-10	2.07e-13	10.067523	20.363188	2.0103598	GJA9-MYCBP///GJA9///MYCBP	GJA9-MYCBP readthrough///gap junction protein alpha 9///MYC binding protein
201292_at	1.55e-10	2.08e-13	10.066623	20.360334	5.3851294	TOP2A	topoisomerase (DNA) II alpha
222393_s_at	1.62e-10	2.23e-13	10.045467	20.293221	3.7566341	NAA50	N(alpha)-acetyltransferase 50, NatE catalytic subunit
204026_s_at	1.80e-10	2.53e-13	10.00689	20.170692	4.5220452	ZWINT	ZW10 interacting kinetochore protein
201898_s_at	1.85e-10	2.73e-13	9.983619	20.096685	2.2659729	UBE2A	ubiquitin conjugating enzyme E2 A
1553535_a_at	1.85e-10	2.81e-13	9.97446	20.067541	2.820529	RANGAP1	Ran GTPase activating protein 1
233208_x_at	1.85e-10	2.85e-13	9.970442	20.05475	2.7155168	CPSF2	cleavage and polyadenylation specific factor 2
201688_s_at	1.85e-10	2.86e-13	9.969133	20.050581	5.3815616	TPD52	tumor protein D52
212009_s_at	1.85e-10	2.91e-13	9.963794	20.033585	4.8447059	STIP1	stress induced phosphoprotein 1
206742_at	1.86e-10	2.99e-13	-9.955149	20.006052	-4.1604527	PIR-FIGF///FIGF	PIR-FIGF readthrough///c-fos induced growth factor
222385_x_at	1.97e-10	3.23e-13	9.932544	19.934013	4.2837365	SEC61A1	Sec61 translocon alpha 1 subunit
43427_at	1.97e-10	3.29e-13	-9.926267	19.914	-5.6391963	ACACB	acetyl-CoA carboxylase beta
222458_s_at	2.03e-10	3.47e-13	9.910101	19.862429	3.8037179	AKIRIN1	akirin 1
218039_at	2.05e-10	3.57e-13	9.901265	19.834226	5.0011236	NUSAP1	nucleolar and spindle associated protein 1
236359_at	2.14e-10	3.80e-13	-9.882309	19.773693	-3.8976487	SCN4B	sodium voltage-gated channel beta subunit 4
213451_x_at	2.23e-10	4.09e-13	-9.860004	19.702405	-5.6092879	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
210559_s_at	2.23e-10	4.10e-13	9.859415	19.700522	5.057714	CDK1	cyclin dependent kinase 1
222981_s_at	2.28e-10	4.28e-13	9.846218	19.658314	2.7919471	RAB10	RAB10, member RAS oncogene family
225468_at	2.31e-10	4.40e-13	9.837796	19.631365	3.9717534	PATL1	PAT1 homolog 1, processing body mRNA decay factor
217919_s_at	2.34e-10	4.55e-13	9.827566	19.598621	3.9303276	MRPL42	mitochondrial ribosomal protein L42
204170_s_at	2.44e-10	4.90e-13	9.805116	19.526716	4.4252912	CKS2	CDC28 protein kinase regulatory subunit 2
49452_at	2.44e-10	4.95e-13	-9.802004	19.516741	-6.3006217	ACACB	acetyl-CoA carboxylase beta
200712_s_at	2.44e-10	4.99e-13	9.79957	19.508941	3.6059627	MAPRE1	microtubule associated protein RP/EB family member 1
224012_at	2.77e-10	5.75e-13	-9.756501	19.370786	-3.9385443	ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A1	ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A1
219787_s_at	2.77e-10	5.85e-13	9.751625	19.355131	4.1267273	ECT2	epithelial cell transforming 2
201291_s_at	2.81e-10	6.12e-13	9.737927	19.311134	5.9139148	TOP2A	topoisomerase (DNA) II alpha
244876_at	2.81e-10	6.21e-13	-9.733583	19.297177	-3.9337788		
204092_s_at	2.81e-10	6.21e-13	9.733514	19.296955	4.2595722	AURKA	aurora kinase A
220725_x_at	3.07e-10	6.89e-13	-9.701745	19.194806	-2.4411656	DNAH3	dynein axonemal heavy chain 3
1554572_a_at	3.07e-10	7.12e-13	9.691834	19.162914	3.4363681	SUV39H2	suppressor of variegation 3-9 homolog 2
221928_at	3.07e-10	7.17e-13	-9.690059	19.157202	-4.2434699	ACACB	acetyl-CoA carboxylase beta
235849_at	3.07e-10	7.19e-13	-9.689124	19.154192	-5.0375217	SCARA5	scavenger receptor class A member 5
201221_s_at	3.13e-10	7.45e-13	-9.678419	19.119726	-1.4841766	SNRNP70	small nuclear ribonucleoprotein U1 subunit 70
226303_at	3.30e-10	7.95e-13	-9.658637	19.056001	-2.9023919	PGM5	phosphoglucomutase 5
203214_x_at	3.30e-10	8.15e-13	9.65125	19.032193	4.9511304	CDK1	cyclin dependent kinase 1
208609_s_at	3.30e-10	8.18e-13	-9.650216	19.028859	-4.0651796	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
1564494_s_at	3.33e-10	8.45e-13	9.640191	18.996535	4.9678591	P4HB	prolyl 4-hydroxylase subunit beta
231773_at	3.33e-10	8.48e-13	-9.63922	18.993403	-2.3915325	ANGPTL1	angiopoietin like 1
202954_at	3.34e-10	8.67e-13	9.632561	18.971926	5.0456644	UBE2C	ubiquitin conjugating enzyme E2 C
222608_s_at	3.34e-10	8.73e-13	9.630424	18.965031	4.4879604	ANLN	anillin actin binding protein
223880_x_at	3.55e-10	9.43e-13	9.607138	18.889876	1.8880785	TGIF2-C20orf24///C20orf24	TGIF2-C20orf24 readthrough///chromosome 20 open reading frame 24
205384_at	3.55e-10	9.52e-13	-9.604377	18.880959	-3.6943636	FXYD1	FXYD domain containing ion transport regulator 1
209055_s_at	3.65e-10	9.89e-13	9.592866	18.84378	3.0396887	CDC5L	cell division cycle 5 like
212141_at	3.78e-10	1.04e-12	9.578126	18.796145	3.2854661	MCM4	minichromosome maintenance complex component 4
210733_at	3.81e-10	1.07e-12	9.569622	18.768653	2.1003696	TRAM1	translocation associated membrane protein 1
204768_s_at	3.81e-10	1.07e-12	9.568566	18.765236	3.6925314	FEN1	flap structure-specific endonuclease 1
1556364_at	3.98e-10	1.13e-12	-9.551786	18.710959	-3.3724106	ADAMTS9-AS2	ADAMTS9 antisense RNA 2
218049_s_at	4.03e-10	1.17e-12	9.54261	18.681264	2.570092	MRPL13	mitochondrial ribosomal protein L13
222522_x_at	4.03e-10	1.17e-12	9.541463	18.67755	2.2097499	MRPS10	mitochondrial ribosomal protein S10
231031_at	4.07e-10	1.21e-12	-9.532341	18.648019	-2.1836261	FGF7P3	fibroblast growth factor 7 pseudogene 3
218009_s_at	4.07e-10	1.21e-12	9.531391	18.644941	5.3881484	PRC1	protein regulator of cytokinesis 1
221561_at	4.12e-10	1.24e-12	9.52429	18.621945	3.2310448	SOAT1	sterol O-acyltransferase 1
1561754_at	4.13e-10	1.26e-12	-9.52066	18.610187	-4.5532618		
205034_at	4.14e-10	1.29e-12	9.513015	18.585416	3.7671139	CCNE2	cyclin E2
1562527_at	4.14e-10	1.29e-12	-9.512735	18.584509	-4.1952787	LOC441666	zinc finger protein 91 pseudogene
209773_s_at	4.14e-10	1.30e-12	9.51015	18.576132	6.3095069	RRM2	ribonucleotide reductase regulatory subunit M2
212835_at	4.21e-10	1.35e-12	9.499358	18.541149	2.2725026	FAM175B	family with sequence similarity 175 member B
213741_s_at	4.21e-10	1.37e-12	9.494546	18.525549	2.5892136	KPNA1	karyopherin subunit alpha 1
201043_s_at	4.21e-10	1.38e-12	9.491743	18.51646	2.9164582	ANP32A	acidic nuclear phosphoprotein 32 family member A
243689_s_at	4.21e-10	1.39e-12	-9.490471	18.512335	-4.7745151	FRG1BP	FSHD region gene 1 family member B, pseudogene
228519_x_at	4.21e-10	1.39e-12	-9.489567	18.509402	-2.7925684	CIRBP	cold inducible RNA binding protein
1568954_s_at	4.48e-10	1.51e-12	9.464821	18.429108	2.7684537	C16orf72	chromosome 16 open reading frame 72
218349_s_at	4.48e-10	1.51e-12	9.464777	18.428965	3.2046092	ZWILCH	zwilch kinetochore protein
200730_s_at	4.62e-10	1.58e-12	9.452613	18.389469	3.9852189	PTP4A1	protein tyrosine phosphatase type IVA, member 1
201629_s_at	4.80e-10	1.66e-12	9.436496	18.337111	3.2348855	ACP1	acid phosphatase 1, soluble
1554553_s_at	4.80e-10	1.67e-12	9.435155	18.332751	2.7763909	YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein
203622_s_at	5.14e-10	1.81e-12	9.411647	18.256323	2.792743	PNO1	partner of NOB1 homolog
227419_x_at	5.26e-10	1.86e-12	-9.402269	18.225818	-4.2093219	PLAC9	placenta specific 9
209613_s_at	5.31e-10	1.90e-12	-9.396453	18.206891	-6.3570713	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
228851_s_at	5.56e-10	2.02e-12	9.377773	18.146079	3.1433755	ENSA	endosulfine alpha
233878_s_at	5.56e-10	2.03e-12	9.377291	18.144509	3.2113323	XRN2	5'-3' exoribonuclease 2
218474_s_at	5.63e-10	2.07e-12	9.370755	18.123222	3.1623201	KCTD5	potassium channel tetramerization domain containing 5
218295_s_at	5.69e-10	2.14e-12	9.361758	18.09391	2.3610768	NUP50	nucleoporin 50
1562755_at	5.69e-10	2.15e-12	-9.359861	18.087726	-4.4398385		
210178_x_at	5.69e-10	2.17e-12	9.357317	18.079437	3.2758736	SRSF10	serine and arginine rich splicing factor 10
209612_s_at	5.69e-10	2.17e-12	-9.356686	18.077379	-6.2625679	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
200641_s_at	5.73e-10	2.21e-12	9.352008	18.062133	4.6540683	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
208079_s_at	6.04e-10	2.34e-12	9.33386	18.002959	4.2256518	AURKA	aurora kinase A
1555618_s_at	6.09e-10	2.39e-12	9.328296	17.984808	3.5748289	SAE1	SUMO1 activating enzyme subunit 1
240988_x_at	6.09e-10	2.40e-12	-9.326312	17.978336	-2.3119631		
211090_s_at	6.28e-10	2.50e-12	9.314283	17.939081	4.1430813	PRPF4B	pre-mRNA processing factor 4B
1554577_a_at	6.28e-10	2.53e-12	9.311301	17.929346	2.5908733	PSMD10	proteasome 26S subunit, non-ATPase 10
214710_s_at	6.28e-10	2.54e-12	9.309452	17.92331	4.6632353	CCNB1	cyclin B1
222155_s_at	6.39e-10	2.61e-12	9.301705	17.898017	4.2887096	SLC52A2	solute carrier family 52 member 2
202487_s_at	6.67e-10	2.75e-12	9.286666	17.848893	2.5060156	H2AFV	H2A histone family member V
244655_at	6.91e-10	2.87e-12	-9.273528	17.805957	-3.1149524	LOC100507311	uncharacterized LOC100507311
227308_x_at	7.01e-10	2.93e-12	-9.267035	17.784731	-1.3495422	LTBP3	latent transforming growth factor beta binding protein 3
32625_at	7.17e-10	3.02e-12	-9.257795	17.754515	-3.6028323	NPR1	natriuretic peptide receptor 1
209714_s_at	7.19e-10	3.06e-12	9.254546	17.743888	4.5621495	CDKN3	cyclin dependent kinase inhibitor 3
213715_s_at	7.79e-10	3.34e-12	-9.227913	17.656731	-2.3063452	KANK3	KN motif and ankyrin repeat domains 3
237737_at	7.79e-10	3.37e-12	-9.225641	17.649291	-2.99796	LOC101927345///LOC101060632///LOC101059949///ANKRD20A12P	putative ankyrin repeat domain-containing protein 20A12 pseudogene///uncharacterized gene LOC101060632///putative ankyrin repeat domain-containing protein 20A12 pseudogene///ankyrin repeat domain 20 family member A12, pseudogene
212902_at	7.79e-10	3.39e-12	9.223841	17.643397	2.9486897	SEC24A	SEC24 homolog A, COPII coat complex component
201772_at	9.09e-10	4.01e-12	9.173901	17.479724	2.4237965	AZIN1	antizyme inhibitor 1
223101_s_at	9.09e-10	4.02e-12	9.173269	17.477651	2.4620287	ARPC5L	actin related protein 2/3 complex subunit 5 like
219064_at	9.29e-10	4.14e-12	-9.164678	17.449466	-4.5889494	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
203213_at	9.30e-10	4.17e-12	9.162147	17.441161	4.2375516	CDK1	cyclin dependent kinase 1
210216_x_at	9.46e-10	4.28e-12	9.154461	17.415934	2.7932961	RAD1	RAD1 checkpoint DNA exonuclease
201890_at	9.46e-10	4.33e-12	9.151146	17.405051	5.0417933	RRM2	ribonucleotide reductase regulatory subunit M2
204427_s_at	9.46e-10	4.36e-12	9.148734	17.397133	4.4565354	TMED2	transmembrane p24 trafficking protein 2
202503_s_at	9.46e-10	4.39e-12	9.146833	17.390893	5.3993787	KIAA0101	KIAA0101
225716_at	9.46e-10	4.40e-12	9.146291	17.389111	2.4524477	BRI3BP	BRI3 binding protein
216266_s_at	9.54e-10	4.47e-12	9.141705	17.374054	3.6576653	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1
228409_at	9.64e-10	4.55e-12	-9.13643	17.35673	-5.2973242	PLIN4	perilipin 4
218260_at	1.02e-09	4.84e-12	9.118218	17.296892	3.3376604	DDA1	DET1 and DDB1 associated 1
201504_s_at	1.04e-09	4.99e-12	9.109231	17.267353	3.4837017	TSN	translin
212481_s_at	1.04e-09	5.02e-12	9.107234	17.260786	2.8441582	TPM4	tropomyosin 4
203996_s_at	1.04e-09	5.07e-12	-9.104152	17.250653	-1.4475824	C21orf2	chromosome 21 open reading frame 2
218866_s_at	1.05e-09	5.12e-12	9.101495	17.241917	3.222828	POLR3K	RNA polymerase III subunit K
217725_x_at	1.05e-09	5.18e-12	9.098197	17.231069	1.8429139	SERBP1	SERPINE1 mRNA binding protein 1
212514_x_at	1.05e-09	5.24e-12	9.094317	17.218307	2.9038232	DDX3X	DEAD-box helicase 3, X-linked
204240_s_at	1.05e-09	5.25e-12	9.093927	17.217025	3.3449526	SMC2	structural maintenance of chromosomes 2
232538_at	1.05e-09	5.27e-12	-9.092882	17.213589	-4.3095427		
203308_x_at	1.06e-09	5.37e-12	-9.087337	17.195347	-1.1239549	HPS1	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1
202736_s_at	1.06e-09	5.38e-12	9.086429	17.192359	3.5996181	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated
226319_s_at	1.06e-09	5.45e-12	9.083033	17.181186	4.9658886	ALYREF	Aly/REF export factor
225687_at	1.06e-09	5.45e-12	9.082604	17.179773	4.8464431	FAM83D	family with sequence similarity 83 member D
233103_at	1.06e-09	5.50e-12	-9.079903	17.170886	-1.663897		
201320_at	1.06e-09	5.52e-12	-9.07909	17.168211	-1.1598711	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2
211673_s_at	1.06e-09	5.55e-12	-9.077606	17.163327	-2.2458879	MOCS1	molybdenum cofactor synthesis 1
202870_s_at	1.07e-09	5.66e-12	9.071897	17.144537	5.300214	CDC20	cell division cycle 20
1553575_at	1.08e-09	5.77e-12	-9.065835	17.124581	-1.8252	ND6	NADH dehydrogenase, subunit 6 (complex I)
216591_s_at	1.11e-09	5.94e-12	9.057221	17.096215	3.78311	SDHC	succinate dehydrogenase complex subunit C
210051_at	1.12e-09	6.01e-12	-9.053863	17.085153	-3.6532425	RAPGEF3	Rap guanine nucleotide exchange factor 3
221487_s_at	1.14e-09	6.17e-12	9.045918	17.058981	3.220669	ENSA	endosulfine alpha
228273_at	1.15e-09	6.27e-12	9.041448	17.044255	4.6069049	PRR11	proline rich 11
201821_s_at	1.15e-09	6.29e-12	9.040368	17.040695	2.6689327	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)
213007_at	1.17e-09	6.44e-12	9.033498	17.018055	3.6235095	FANCI	Fanconi anemia complementation group I
222714_s_at	1.17e-09	6.53e-12	9.029524	17.004955	2.7572773	LACTB2	lactamase beta 2
207165_at	1.19e-09	6.64e-12	9.024565	16.988607	3.9460725	HMMR	hyaluronan mediated motility receptor
222233_s_at	1.19e-09	6.74e-12	9.019877	16.973148	2.8678031	DCLRE1C	DNA cross-link repair 1C
229490_s_at	1.19e-09	6.75e-12	9.019527	16.971994	3.5414055		
232459_at	1.19e-09	6.77e-12	-9.018519	16.968671	-1.9467243		
220765_s_at	1.20e-09	6.88e-12	-9.014106	16.954118	-2.64089	LIMS2	LIM zinc finger domain containing 2
200889_s_at	1.21e-09	7.00e-12	9.008694	16.936266	2.2366809	SSR1	signal sequence receptor subunit 1
201523_x_at	1.21e-09	7.04e-12	9.007294	16.931648	3.8989172	UBE2N	ubiquitin conjugating enzyme E2 N
204134_at	1.25e-09	7.30e-12	-8.996233	16.895152	-2.7820271	PDE2A	phosphodiesterase 2A
230790_x_at	1.26e-09	7.39e-12	-8.992898	16.884143	-2.1383339	FOXN3	forkhead box N3
223021_x_at	1.26e-09	7.43e-12	8.991218	16.8786	2.972776	VTA1	vesicle trafficking 1
228618_at	1.26e-09	7.49e-12	-8.988821	16.870687	-2.8219165	PEAR1	platelet endothelial aggregation receptor 1
203980_at	1.26e-09	7.51e-12	-8.988086	16.868262	-7.3854644	FABP4	fatty acid binding protein 4
200713_s_at	1.26e-09	7.58e-12	8.985277	16.858989	1.3349629	MAPRE1	microtubule associated protein RP/EB family member 1
1554148_a_at	1.26e-09	7.75e-12	8.978676	16.837194	2.6364559	SLC33A1	solute carrier family 33 member 1
208744_x_at	1.26e-09	7.76e-12	8.978462	16.836489	3.5346224	HSPH1	heat shock protein family H (Hsp110) member 1
237040_at	1.26e-09	7.77e-12	-8.978125	16.835376	-2.0962124	CWF19L2	CWF19-like 2, cell cycle control (S. pombe)
201457_x_at	1.26e-09	7.78e-12	8.9774	16.83298	2.4987108	BUB3	BUB3, mitotic checkpoint protein
1560144_at	1.26e-09	7.80e-12	-8.976646	16.83049	-4.2840394		
209744_x_at	1.26e-09	7.83e-12	8.975839	16.827826	2.2605915	ITCH	itchy E3 ubiquitin protein ligase
219689_at	1.26e-09	7.84e-12	-8.975136	16.825504	-4.1108658	SEMA3G	semaphorin 3G
219493_at	1.26e-09	7.90e-12	8.972867	16.818011	2.7527516	SHCBP1	SHC binding and spindle associated 1
201169_s_at	1.26e-09	7.94e-12	8.971719	16.814221	3.7519356	BHLHE40	basic helix-loop-helix family member e40
217777_s_at	1.26e-09	7.99e-12	8.969871	16.808117	4.1817517	HACD3	3-hydroxyacyl-CoA dehydratase 3
223500_at	1.26e-09	8.00e-12	-8.969288	16.806189	-2.6854134	CPLX1	complexin 1
227897_at	1.27e-09	8.10e-12	8.965504	16.793691	3.7771992	RAP2B	RAP2B, member of RAS oncogene family
221677_s_at	1.28e-09	8.24e-12	8.960769	16.778047	3.0714011	DONSON	downstream neighbor of SON
204754_at	1.28e-09	8.24e-12	-8.960434	16.776941	-3.2053707	HLF	HLF, PAR bZIP transcription factor
201298_s_at	1.28e-09	8.31e-12	8.95808	16.769163	2.8803937	MOB1A	MOB kinase activator 1A
1554433_a_at	1.29e-09	8.39e-12	8.955346	16.760129	3.8683782	ZNF146	zinc finger protein 146
244612_at	1.31e-09	8.69e-12	-8.94496	16.7258	-2.3572357		
229128_s_at	1.31e-09	8.69e-12	8.944864	16.725484	5.5937139	ANP32E	acidic nuclear phosphoprotein 32 family member E
203766_s_at	1.31e-09	8.71e-12	-8.944335	16.723735	-3.7975922	LMOD1	leiomodin 1
201179_s_at	1.35e-09	8.99e-12	8.934947	16.692697	2.6679846	GNAI3	G protein subunit alpha i3
205913_at	1.35e-09	9.09e-12	-8.931721	16.682027	-5.6754897	PLIN1	perilipin 1
202874_s_at	1.35e-09	9.11e-12	8.930866	16.6792	3.174712	ATP6V1C1	ATPase H+ transporting V1 subunit C1
222740_at	1.39e-09	9.37e-12	8.922595	16.651844	3.5505502	ATAD2	ATPase family, AAA domain containing 2
201912_s_at	1.39e-09	9.48e-12	8.919135	16.640398	2.9860968	GSPT1	G1 to S phase transition 1
201727_s_at	1.39e-09	9.52e-12	8.917863	16.636188	2.5908243	ELAVL1	ELAV like RNA binding protein 1
218129_s_at	1.39e-09	9.53e-12	8.917621	16.635386	2.6437471	NFYB	nuclear transcription factor Y subunit beta
222451_s_at	1.42e-09	9.82e-12	8.908733	16.605975	2.3997085	ZDHHC9	zinc finger DHHC-type containing 9
205392_s_at	1.42e-09	9.85e-12	-8.907891	16.60319	-4.3793872	CCL15-CCL14///CCL14	CCL15-CCL14 readthrough (NMD candidate)///C-C motif chemokine ligand 14
200755_s_at	1.42e-09	9.88e-12	8.90713	16.600669	2.4671574	CALU	calumenin
239963_at	1.42e-09	9.93e-12	-8.905636	16.595726	-2.4354715		
1555758_a_at	1.42e-09	9.95e-12	8.904848	16.593118	4.5308416	CDKN3	cyclin dependent kinase inhibitor 3
1552264_a_at	1.42e-09	1.00e-11	8.903611	16.589023	2.4069017	MAPK1	mitogen-activated protein kinase 1
212194_s_at	1.44e-09	1.02e-11	8.896559	16.565675	2.2578115	TM9SF4	transmembrane 9 superfamily member 4
211612_s_at	1.44e-09	1.03e-11	8.895118	16.560905	3.5020825	IL13RA1	interleukin 13 receptor subunit alpha 1
222606_at	1.45e-09	1.04e-11	8.891043	16.547412	2.3686586	ZWILCH	zwilch kinetochore protein
210337_s_at	1.45e-09	1.05e-11	8.890181	16.544557	3.6434139	ACLY	ATP citrate lyase
219633_at	1.45e-09	1.05e-11	8.888233	16.538106	2.2474184	TTPAL	alpha tocopherol transfer protein like
208689_s_at	1.45e-09	1.05e-11	8.888066	16.537552	1.8088652	RPN2	ribophorin II
206075_s_at	1.46e-09	1.07e-11	8.883747	16.523247	3.7229973	CSNK2A1	casein kinase 2 alpha 1
213642_at	1.46e-09	1.07e-11	-8.882546	16.519271	-1.5786744		
207828_s_at	1.48e-09	1.09e-11	8.877304	16.501906	4.7447872	CENPF	centromere protein F
210092_at	1.52e-09	1.12e-11	8.869099	16.474718	3.3235896	MAGOHB///MAGOH	mago homolog B, exon junction complex core component///mago homolog, exon junction complex core component
217835_x_at	1.53e-09	1.14e-11	8.865619	16.463185	1.6375031	TGIF2-C20orf24///C20orf24	TGIF2-C20orf24 readthrough///chromosome 20 open reading frame 24
204482_at	1.54e-09	1.15e-11	-8.863034	16.454619	-2.8504137	CLDN5	claudin 5
209653_at	1.55e-09	1.16e-11	8.860065	16.444777	2.9689138	KPNA4	karyopherin subunit alpha 4
40829_at	1.56e-09	1.17e-11	-8.856821	16.434025	-1.4872591	WDTC1	WD and tetratricopeptide repeats 1
1552619_a_at	1.57e-09	1.19e-11	8.853385	16.422633	3.6576111	ANLN	anillin actin binding protein
230800_at	1.62e-09	1.23e-11	-8.842618	16.386928	-2.5436297	ADCY4	adenylate cyclase 4
222752_s_at	1.62e-09	1.24e-11	8.840619	16.380297	3.6525874	TMEM206	transmembrane protein 206
200756_x_at	1.62e-09	1.24e-11	8.839338	16.37605	2.6907667	CALU	calumenin
228548_at	1.66e-09	1.28e-11	-8.831545	16.350199	-2.0520255	RAP1A	RAP1A, member of RAS oncogene family
200638_s_at	1.66e-09	1.28e-11	8.829921	16.344808	2.7758982	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
223879_s_at	1.69e-09	1.31e-11	8.823223	16.322583	3.0088855	OXR1	oxidation resistance 1
214553_s_at	1.73e-09	1.35e-11	8.815215	16.296005	2.1533158	ARPP19	cAMP regulated phosphoprotein 19
243026_x_at	1.75e-09	1.37e-11	8.810108	16.279048	1.7282915	XIAP	X-linked inhibitor of apoptosis
212125_at	1.76e-09	1.39e-11	8.807125	16.269147	2.926265	RANGAP1	Ran GTPase activating protein 1
209162_s_at	1.76e-09	1.39e-11	8.806484	16.267018	3.7716042	PRPF4	pre-mRNA processing factor 4
210052_s_at	1.77e-09	1.40e-11	8.804058	16.258962	5.1322419	TPX2	TPX2, microtubule nucleation factor
223490_s_at	1.78e-09	1.42e-11	8.800225	16.246232	2.3242653	EXOSC3	exosome component 3
