ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
224330_s_at	3.23e-01	2.30e-01	1.216377	-6.040479	0.3009376	MRPL27	mitochondrial ribosomal protein L27
242726_at	3.23e-01	2.30e-01	1.216103	-6.040804	0.3003133		
219236_at	3.23e-01	2.30e-01	1.216053	-6.040864	0.3650824	PAQR6	progestin and adipoQ receptor family member 6
202688_at	3.23e-01	2.30e-01	-1.216052	-6.040865	-0.4237873	TNFSF10	tumor necrosis factor superfamily member 10
222196_at	3.23e-01	2.30e-01	1.215967	-6.040966	0.4702061	LOC389906	zinc finger protein 839 pseudogene
219560_at	3.24e-01	2.30e-01	1.215344	-6.041706	0.2010361	C22orf29///GNB1L	chromosome 22 open reading frame 29///G protein subunit beta 1 like
227277_at	3.24e-01	2.30e-01	1.215048	-6.042058	0.2815785	MTDH	metadherin
208296_x_at	3.24e-01	2.30e-01	1.214894	-6.042241	0.3773201	TNFAIP8	TNF alpha induced protein 8
205758_at	3.24e-01	2.30e-01	1.214774	-6.042383	0.7348621	CD8A	CD8a molecule
1568822_at	3.24e-01	2.30e-01	1.214751	-6.04241	0.1460143	MTG2	mitochondrial ribosome associated GTPase 2
242916_at	3.24e-01	2.31e-01	-1.214424	-6.042798	-0.2726235	CNTRL	centriolin
238841_at	3.24e-01	2.31e-01	1.214211	-6.043051	0.2929404	PTPDC1	protein tyrosine phosphatase domain containing 1
231953_at	3.24e-01	2.31e-01	1.214152	-6.043122	0.2223086	BPTF	bromodomain PHD finger transcription factor
201477_s_at	3.24e-01	2.31e-01	1.21412	-6.04316	0.2634281	RRM1	ribonucleotide reductase catalytic subunit M1
205333_s_at	3.24e-01	2.31e-01	1.213903	-6.043417	0.1804738	RCE1	Ras converting CAAX endopeptidase 1
235793_at	3.24e-01	2.31e-01	1.213889	-6.043433	0.2436278	TPGS2	tubulin polyglutamylase complex subunit 2
213271_s_at	3.24e-01	2.31e-01	-1.213812	-6.043524	-0.2021825	DOPEY1	dopey family member 1
211383_s_at	3.24e-01	2.31e-01	1.213801	-6.043538	0.2340659	WDR37	WD repeat domain 37
217931_at	3.24e-01	2.31e-01	-1.213706	-6.043651	-0.1724924	CNPY3	canopy FGF signaling regulator 3
209346_s_at	3.24e-01	2.31e-01	-1.213587	-6.043792	-0.127994	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha
202439_s_at	3.24e-01	2.31e-01	1.21357	-6.043812	0.3196695	IDS	iduronate 2-sulfatase
216278_at	3.24e-01	2.31e-01	1.213354	-6.044068	0.4189513		
1557948_at	3.24e-01	2.31e-01	1.213328	-6.044099	0.3519119	PHLDB3	pleckstrin homology like domain family B member 3
212357_at	3.24e-01	2.31e-01	1.213225	-6.044221	0.2625598	FAM168A	family with sequence similarity 168 member A
239295_at	3.25e-01	2.31e-01	1.212946	-6.044552	0.2913916	SRSF12	serine and arginine rich splicing factor 12
227720_at	3.25e-01	2.31e-01	-1.212916	-6.044587	-0.2648354	ANKRD13B	ankyrin repeat domain 13B
226012_at	3.25e-01	2.31e-01	-1.21268	-6.044868	-0.2251167	ANKRD11	ankyrin repeat domain 11
203235_at	3.25e-01	2.31e-01	1.212656	-6.044896	0.2039396	THOP1	thimet oligopeptidase 1
203910_at	3.25e-01	2.31e-01	-1.212605	-6.044956	-0.4614016	ARHGAP29	Rho GTPase activating protein 29
206337_at	3.25e-01	2.31e-01	1.212539	-6.045034	0.5932711	CCR7	C-C motif chemokine receptor 7
221699_s_at	3.25e-01	2.31e-01	1.212452	-6.045137	0.2068926	DDX50	DEAD-box helicase 50
239071_at	3.25e-01	2.31e-01	-1.212436	-6.045156	-0.2440226	RBBP4	RB binding protein 4, chromatin remodeling factor
228612_at	3.25e-01	2.31e-01	1.212422	-6.045173	0.200481	RAB30-AS1	RAB30 antisense RNA 1 (head to head)
1556210_at	3.25e-01	2.31e-01	-1.212414	-6.045182	-0.2342584		
242592_at	3.25e-01	2.31e-01	1.212327	-6.045285	0.1544439	GPR137C	G protein-coupled receptor 137C
231841_s_at	3.25e-01	2.31e-01	1.212243	-6.045385	0.2847484	KIAA1462	KIAA1462
227522_at	3.25e-01	2.31e-01	-1.21205	-6.045613	-0.9521701	CMBL	carboxymethylenebutenolidase homolog
242088_at	3.25e-01	2.31e-01	-1.211925	-6.045762	-0.2131051	KLHL24	kelch like family member 24
